venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
"Vidarbha Cricket Association Stadium, Jamtha",2019-03-05,18.9389,72.8258,25.1,,4.8
"Tribhuvan University International Cricket Ground, Kirtipur",2023-02-20,27.6983,85.3109,15.8,0.0,8.2
"Queens Sports Club, Bulawayo",2003-02-24,-20.1508,28.5786,,,
Edgbaston,2019-06-19,52.4828,-1.8998,15.8,,9.3
Shere Bangla National Stadium,2010-03-02,23.75,90.4,27.0,0.0,
Providence Stadium,2007-04-07,18.9389,72.8258,29.3,,
"National Stadium, Karachi",2021-11-11,24.9067,67.0825,25.1,0.0,5.9
Harare Sports Club,2014-08-31,-17.815,31.0456,14.9,,
Gymkhana Club Ground,2006-08-13,18.9389,72.8258,26.9,7.1,
Harare Sports Club,2018-03-22,-17.815,31.0456,21.6,,
"R Premadasa Stadium, Colombo",2024-01-08,6.9271,79.8612,27.0,49.5,1.9
Captain Roop Singh Stadium,2010-02-24,18.9389,72.8258,24.5,,
Saxton Oval,2014-01-04,18.5569,73.8287,20.2,,
Iqbal Stadium,2008-04-11,18.9389,72.8258,31.3,,
"Sir Vivian Richards Stadium, North Sound",2017-07-02,17.7411,-61.8487,,,
"Seddon Park, Hamilton",2022-03-12,-37.7833,175.2786,,,
Pallekele International Cricket Stadium,2013-07-28,7.4833,80.65,28.8,0.0,
"Beausejour Stadium, Gros Islet",2011-04-25,14.0031,-60.9786,28.0,,
Shere Bangla National Stadium,2014-03-02,23.75,90.4,25.9,0.0,10.8
Arbab Niaz Stadium,2006-02-06,18.9389,72.8258,26.9,,
Sheikh Zayed Stadium,2012-02-13,24.4361,54.3896,19.4,,13.3
Iqbal Stadium,2007-10-23,18.9389,72.8258,30.4,,
"Sardar Patel Stadium, Motera",2011-03-24,18.9389,72.8258,27.2,,
Adelaide Oval,2011-01-26,-34.9285,138.6007,23.1,0.4,18.0
Harare Sports Club,2004-03-14,-17.815,31.0456,18.2,0.8,
"Gaddafi Stadium, Lahore",2003-10-05,31.5299,74.3086,28.6,0.0,3.6
Shere Bangla National Stadium,2011-03-25,23.75,90.4,,,
Dubai International Cricket Stadium,2019-03-31,18.9389,72.8258,28.7,,5.0
"Ray Mitchell Oval, Harrup Park, Mackay",2021-09-21,-21.1508,149.2008,20.8,0.0,12.0
Queens Sports Club,2018-03-12,-20.1692,28.5869,,,
Pallekele International Cricket Stadium,2017-08-27,7.4833,80.65,28.3,0.0,
"Eden Park, Auckland",2022-03-19,-36.8474,174.7634,17.5,7.3,8.7
"Brisbane Cricket Ground, Woolloongabba",2010-01-22,-27.4705,153.0269,25.3,0.0,13.3
Melbourne Cricket Ground,2024-11-04,-37.822,144.9635,13.8,0.1,12.2
"Maple Leaf North-West Ground, King City",2024-09-20,44.0706,-79.6628,19.0,0.0,8.5
Rangiri Dambulla International Stadium,2003-11-18,7.89,80.8,,,
Madhavrao Scindia Cricket Ground,2005-11-09,18.9389,72.8258,25.7,,
"Shere Bangla National Stadium, Mirpur",2018-01-21,23.8233,90.3917,18.3,,6.1
Trent Bridge,2009-09-15,52.9444,-1.1447,14.7,,22.5
Adelaide Oval,2024-02-03,-34.9285,138.6007,24.5,0.0,10.0
R Premadasa Stadium,2006-03-19,6.9269,79.8612,,,
Harare Sports Club,2021-07-20,-17.815,31.0456,13.8,,10.0
Old Trafford,2017-09-19,53.4627,-2.291,10.3,,4.7
Trent Bridge,2010-07-08,52.9444,-1.1447,18.8,,14.1
Bellerive Oval,2006-02-07,-18.9389,147.1861,,,
New Wanderers Stadium,2011-01-15,-18.9389,30.7545,,,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2020-01-08,23.6344,58.5624,22.5,,13.5
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-09-29,23.6344,58.5624,32.0,,8.7
Harare Sports Club,2023-12-13,-17.815,31.0456,21.4,7.2,11.0
